location,geographic_level,time_period,school_type,progress_subject,characteristic_gender,improvement,count_no_entries,percent_entered
England,country,201718,All schools and FE sector colleges,English,All genders,0.08365,128644,82.14607755
England,country,201718,All schools and FE sector colleges,English,Female,0.12754,45918,83.10466484
England,country,201718,All schools and FE sector colleges,English,Male,0.05923,82724,81.61355834
England,country,201718,All schools and FE sector colleges,Maths,All genders,0.06772,161474,84.49533671
England,country,201718,All schools and FE sector colleges,Maths,Female,0.07488,77904,85.80945779
England,country,201718,All schools and FE sector colleges,Maths,Male,0.06105,83568,83.26991193
England,country,201718,All schools,English,All genders,0.31526,20430,80.42584435
England,country,201718,All schools,English,Female,0.34267,7186,81.85360423
England,country,201718,All schools,English,Male,0.30033,13243,79.64962622
England,country,201718,All schools,Maths,All genders,0.23838,30465,86.06597735
England,country,201718,All schools,Maths,Female,0.27286,16384,88.74511719
England,country,201718,All schools,Maths,Male,0.1982,14080,82.94744318
England,country,201718,All state-funded schools and colleges,English,All genders,0.0868,126616,82.69492007
England,country,201718,All state-funded schools and colleges,English,Female,0.13188,45286,83.64615996
England,country,201718,All state-funded schools and colleges,English,Male,0.06165,81329,82.16503338
England,country,201718,All state-funded schools and colleges,Maths,All genders,0.06728,159392,84.7884461
England,country,201718,All state-funded schools and colleges,Maths,Female,0.07524,77054,86.08897656
England,country,201718,All state-funded schools and colleges,Maths,Male,0.05985,82337,83.57117699
England,country,201718,All FE sector colleges,English,All genders,-0.06458,124666,78.62448462
England,country,201718,All FE sector colleges,English,Female,-0.02065,44622,79.64905204
England,country,201718,All FE sector colleges,English,Male,-0.08912,80043,78.05304649
England,country,201718,All FE sector colleges,Maths,All genders,-0.07945,152140,80.23136585
England,country,201718,All FE sector colleges,Maths,Female,-0.08689,71803,81.11778059
England,country,201718,All FE sector colleges,Maths,Male,-0.07279,80336,79.4388568
England,country,201718,Other FE sector colleges,English,All genders,-0.101,116682,77.86205242
England,country,201718,Other FE sector colleges,English,Female,-0.05866,41384,78.87589407
England,country,201718,Other FE sector colleges,English,Male,-0.12433,75297,77.30454069
England,country,201718,Other FE sector colleges,Maths,All genders,-0.12439,139712,79.29812758
England,country,201718,Other FE sector colleges,Maths,Female,-0.14481,64440,79.98758535
England,country,201718,Other FE sector colleges,Maths,Male,-0.1069,75271,78.70760319
England,country,201718,Sixth form colleges,English,All genders,0.46775,7984,89.76703407
England,country,201718,Sixth form colleges,English,Female,0.46516,3238,89.53057443
England,country,201718,Sixth form colleges,English,Male,0.46951,4746,89.92836072
England,country,201718,Sixth form colleges,Maths,All genders,0.42577,12428,90.72256196
England,country,201718,Sixth form colleges,Maths,Female,0.42002,7363,91.00909955
England,country,201718,Sixth form colleges,Maths,Male,0.43414,5065,90.30602172
England,country,201718,All independent schools,English,All genders,-0.29022,2373,43.06784661
England,country,201718,All independent schools,English,Female,-0.36966,735,38.36734694
England,country,201718,All independent schools,English,Male,-0.25535,1637,45.14355528
England,country,201718,All independent schools,Maths,All genders,-0.12158,2428,54.61285008
England,country,201718,All independent schools,Maths,Female,-0.17807,1003,53.14057827
England,country,201718,All independent schools,Maths,Male,-0.08258,1424,55.61797753
England,country,201718,Independent schools,English,All genders,-0.24256,1283,43.88152767
England,country,201718,Independent schools,English,Female,-0.28738,404,41.33663366
England,country,201718,Independent schools,English,Male,-0.22335,878,44.98861048
