"location","time_period","rurality","pc_level3_vocational_students_entered_tech_levels","pc_achieving_3_astar_to_a_alev","pc_achieving_atleast_two_alev","pc_achieving_atleast_two_substantial_lev3_acad","pc_achieving_atleast_two_substantial_lev3","pc_achieving_aab_or_better_alev","pc_achieving_aab_or_better_atleast_two_facilitating_alev","pc_level2_vocational_students_entered_technicalcertificate","pc_level3_vocational_students_entered_applied_generals"
"East Midlands",201718,"Rural - Hamlet and isolated dwellings","16.7","6.3","32.7","33.6",40.9,"10.9","7.8","NULL",79.3
"East Midlands",201718,"Rural - Town and fringe","28.6","10.9","76.3","74.8",81.1,"18.6","15.2","60.6",75.8
"East Midlands",201718,"Rural - Village","15.1","6.9","73.9","73.9",75.7,"11.9","9.9","66.3",15.2
"East Midlands",201718,"Urban -  City and town","10.6","9","74.3","74",75.4,"15.2","11.6","37.3",29
"East Midlands",201718,"Urban - Major conurbation","0","10","54.3","54.3",68.9,"30","20","NULL",74.5
"East Midlands",201718,"Urban - Minor conurbation","11","10.9","72.5","71.8",76.2,"19.2","14.5","27.2",27.5
"East Midlands",201819,"Rural - Hamlet and isolated dwellings","50","6.4","68.5","65.3",76.5,"12.7","9.1","0",95.1
"East Midlands",201819,"Rural - Town and fringe","42.3","9.9","82.8","78.6",83.3,"17.3","13.4","7.6",80.9
"East Midlands",201819,"Rural - Village","41.8","7.1","75.5","73.7",61,"12.7","11.1","10.5",22.2
"East Midlands",201819,"Urban -  City and town","21.4","8.3","78.3","77.6",79.5,"14.4","11.4","5.4",45.5
"East Midlands",201819,"Urban - Major conurbation","NULL","0","58.7","58.7",86.8,"5.9","5.9","0",100
"East Midlands",201819,"Urban - Minor conurbation","18.4","8.5","77.2","76.6",82.2,"16.2","11.9","4.1",40.4
"East Midlands",201920,"Rural - Hamlet and isolated dwellings","89.5","9.4","72.4","67.6",87.6,"21.9","15.6","NULL",98.8
"East Midlands",201920,"Rural - Town and fringe","77.5","21.7","89.7","88.5",95.7,"33","24.8","14.8",97.6
"East Midlands",201920,"Rural - Village","59.9","9.7","86.7","85.7",80.6,"16.8","12.4","21.2",46
"East Midlands",201920,"Urban -  City and town","26.3","17.5","87.2","86.3",86.4,"27.3","19.2","9.2",52.3
"East Midlands",201920,"Urban - Major conurbation","NULL","14.3","66","66",92.4,"28.6","19","NULL",100
"East Midlands",201920,"Urban - Minor conurbation","30.2","20.2","85.6","85.1",90.8,"29.7","21","8.7",59.7
"East of England",201718,"Rural - Hamlet and isolated dwellings","0","13.9","81.9","81.9",85.2,"22","18.6","0",80.6
"East of England",201718,"Rural - Town and fringe","31.2","8.5","76.3","76.6",79.8,"15.5","11.7","14.7",82
"East of England",201718,"Rural - Village","7.1","8.4","78.1","76.9",80.8,"18.4","14.4","0",94.3
"East of England",201718,"Urban -  City and town","8.9","11.3","75.7","75",77.1,"19.3","14.3","39.1",29.1
"East of England",201718,"Urban - Major conurbation","5.8","12.2","72.9","72.6",77.6,"19.9","15.7","43.7",40.4
"East of England",201819,"Rural - Hamlet and isolated dwellings","84.6","11.8","86.1","86.4",89,"21.1","17","0",98.2
"East of England",201819,"Rural - Town and fringe","42","8.6","78","78",83.9,"15.9","11.9","0",87.5
"East of England",201819,"Rural - Village","100","9.8","79.9","79",87.3,"16","12.4","0",100
"East of England",201819,"Urban -  City and town","14.7","11","79.2","78.5",79.8,"18.4","13.5","7.7",37.1
