"location","time_period","school_type","characteristic_gender","pc_achieving_3_astar_to_a_alev","pc_achieving_atleast_two_alev","pc_achieving_atleast_two_substantial_lev3","pc_achieving_aab_or_better_alev"
"East Midlands",201718,"All state funded schools and FE sector colleges","All genders",9.5,75.1,77.7,16.3
"East Midlands",201718,"All state funded schools and FE sector colleges","Female",8.6,77.5,79.4,15.6
"East Midlands",201718,"All state funded schools and FE sector colleges","Male",10.8,72.1,75.5,17.1
"East Midlands",201718,"All state-funded schools","All genders",10.1,75.9,81.1,17
"East Midlands",201718,"All state-funded schools","Female",9,78.7,83.8,16.3
"East Midlands",201718,"All state-funded schools","Male",11.5,72.6,78,18
"East Midlands",201819,"All state funded schools and FE sector colleges","All genders",8.5,79.2,82,15.1
"East Midlands",201819,"All state funded schools and FE sector colleges","Female",7.6,80.9,82.7,14.6
"East Midlands",201819,"All state funded schools and FE sector colleges","Male",9.7,77.1,81,15.8
"East Midlands",201819,"All state-funded schools","All genders",8.8,80.1,84.6,15.7
"East Midlands",201819,"All state-funded schools","Female",8.1,82.3,86.2,15.4
"East Midlands",201819,"All state-funded schools","Male",9.8,77.6,82.6,16
"East Midlands",201920,"All state funded schools and FE sector colleges","All genders",18.4,87.3,88.9,28.4
"East Midlands",201920,"All state funded schools and FE sector colleges","Female",18.3,87.4,89,29.2
"East Midlands",201920,"All state funded schools and FE sector colleges","Male",18.6,87.3,88.7,27.4
"East of England",201718,"All state funded schools and FE sector colleges","All genders",11,76.7,79.2,18.8
"East of England",201718,"All state funded schools and FE sector colleges","Female",9.5,79.6,81.1,18.1
"East of England",201718,"All state funded schools and FE sector colleges","Male",13,73.4,77,19.7
"East of England",201718,"All state-funded schools","All genders",11.8,77.3,82.6,20
"East of England",201718,"All state-funded schools","Female",10.1,80.4,85.3,19.2
"East of England",201718,"All state-funded schools","Male",13.9,73.8,79.7,21.1
"East of England",201819,"All state funded schools and FE sector colleges","All genders",10.9,80.4,82.1,18.3
"East of England",201819,"All state funded schools and FE sector colleges","Female",10.1,82.1,82.9,17.9
"East of England",201819,"All state funded schools and FE sector colleges","Male",11.9,78.3,81.2,18.9
"East of England",201819,"All state-funded schools","All genders",11.2,80.4,85.7,18.9
"East of England",201819,"All state-funded schools","Female",10.4,82.5,87.4,18.5
"East of England",201819,"All state-funded schools","Male",12.3,78,83.6,19.5
"East of England",201920,"All state funded schools and FE sector colleges","All genders",20.4,86.2,87.7,31
"East of England",201920,"All state funded schools and FE sector colleges","Female",20.3,86.9,87.4,32.1
"East of England",201920,"All state funded schools and FE sector colleges","Male",20.4,85.5,88,29.7
"London",201718,"All state funded schools and FE sector colleges","All genders",11.3,74.7,78.4,18.7
"London",201718,"All state funded schools and FE sector colleges","Female",10.3,77.8,80.9,17.9
"London",201718,"All state funded schools and FE sector colleges","Male",12.7,70.9,75.3,19.7
"London",201718,"All state-funded schools","All genders",12.6,75.7,80.6,20.5
"London",201718,"All state-funded schools","Female",11.5,78.9,83.3,19.7
"London",201718,"All state-funded schools","Male",13.8,72,77.5,21.4
"London",201819,"All state funded schools and FE sector colleges","All genders",11.1,79.6,83.6,18.4
"London",201819,"All state funded schools and FE sector colleges","Female",10.3,81.9,85.4,17.9
"London",201819,"All state funded schools and FE sector colleges","Male",12.1,76.8,81.5,18.9
"London",201819,"All state-funded schools","All genders",12.2,79.8,85.3,20
"London",201819,"All state-funded schools","Female",11.3,82.4,87.6,19.4
"London",201819,"All state-funded schools","Male",13.3,76.7,82.8,20.6
"London",201920,"All state funded schools and FE sector colleges","All genders",21.2,87,89.7,32.2
"London",201920,"All state funded schools and FE sector colleges","Female",21.4,88.3,90.7,32.9
"London",201920,"All state funded schools and FE sector colleges","Male",20.9,85.4,88.5,31.3
"North East",201718,"All state funded schools and FE sector colleges","All genders",9,69.6,73.6,16.2
"North East",201718,"All state funded schools and FE sector colleges","Female",7.2,71.7,75.3,14.4
"North East",201718,"All state funded schools and FE sector colleges","Male",11.3,66.9,71.3,18.8
"North East",201718,"All state-funded schools","All genders",10.5,73,81.6,18.7
"North East",201718,"All state-funded schools","Female",8.7,76.3,84.9,16.9
